Target,Buyer,Seller,EUR Value (m),Announced,Completed,Revenue,EBITDA,EBIT,Earnings,Summary
Distribuidora Internacional Carmen SAU,Diploma plc,,220.98,13/07/2023,13/07/2023,220.98,2.2x,-,9.4x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Galimmo SCA,Carmila SA,Louis Delhaize SA,416.98,12/07/2023,01/07/2024,416.98,9.4x,12.9x,13.3x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
GrupoUno CTC,Randstad NV,"Portobello Capital Gestion, SGECR, S.A.",80.50,12/07/2023,29/12/2023,80.50,0.4x,5.4x,-,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
STM Group plc,PSF Capital Reserve LP,,46.67,11/07/2023,,46.67,1.0x,8.2x,15.0x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Atenor SA,BESIX Real Estate Development SA,,25.00,10/07/2023,10/07/2023,25.00,15.8x,953.1x,13329.6x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
DWF Group plc,"Inflexion Private Equity Partners LLP
Inflexion Buyout Fund VI",,602.78,10/07/2023,03/10/2023,602.78,1.1x,9.5x,15.0x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Beter Bed Holding N.V.,Torqx Capital Partners BV,"Navitas Capital
Teslin Capital Management BV
De Engh BV",180.94,10/07/2023,29/11/2023,180.94,0.8x,7.2x,20.8x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
BT Group plc,Deutsche Telekom AG,,,09/07/2023,,,1.0x,2.8x,6.3x,"Target Description: Luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories. | Deal Description: Kering SA, the France based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on apparel and accessories within fashion brands in luxury, sport and lifestyle segments is to acquire 30% of Valentino Fashion Group SpA, the Italy based luxury Goods, Accessories and Apparel manufacturer and retailer focusing on men's and women's clothing and accessories from Mayhoola For Investments (QFC) - LLC, the Qatar based investment holding company. The consideration was €1.7bn ($ 1.8792bn). The transaction is expected to close by end of 2023, subject to clearance by the relevant competition authorities. 30 Nov 23 - The transaction is completed."
Creaprint SL,CCL Industries Inc,,26.32,06/07/2023,06/07/2023,26.32,2.3x,-,-,"Target Description: Mould label (IML) producer. | Deal Description: CCL Industries Inc, the Canada based provider of label and packaging solutions. has acquired Creaprint SL, the Spain based Mould label (“IML”) producer. The consideration was CAD 38.1m."
Nortel AS,Unifon AS,,48.04,06/07/2023,20/09/2023,48.04,2.1x,-,-,"Target Description: Mould label (IML) producer. | Deal Description: CCL Industries Inc, the Canada based provider of label and packaging solutions. has acquired Creaprint SL, the Spain based Mould label (“IML”) producer. The consideration was CAD 38.1m."
Wideroe Flyveselskap A/S,Norwegian Air Shuttle ASA,,96.51,06/07/2023,31/01/2024,96.51,0.2x,-,-,"Target Description: Mould label (IML) producer. | Deal Description: CCL Industries Inc, the Canada based provider of label and packaging solutions. has acquired Creaprint SL, the Spain based Mould label (“IML”) producer. The consideration was CAD 38.1m."
Digizuite A/S,Luxion ApS,,41.20,05/07/2023,31/08/2023,41.20,7.9x,-,-,"Target Description: Mould label (IML) producer. | Deal Description: CCL Industries Inc, the Canada based provider of label and packaging solutions. has acquired Creaprint SL, the Spain based Mould label (“IML”) producer. The consideration was CAD 38.1m."
Aciselsan,Verusa Holding AS,,16.47,05/07/2023,,16.47,2.2x,15.4x,15.8x,"Target Description: Mould label (IML) producer. | Deal Description: CCL Industries Inc, the Canada based provider of label and packaging solutions. has acquired Creaprint SL, the Spain based Mould label (“IML”) producer. The consideration was CAD 38.1m."
Galalane Ltd,NR Instant Produce pcl,,5.96,05/07/2023,05/07/2023,5.96,0.3x,-,-,"Target Description: Mould label (IML) producer. | Deal Description: CCL Industries Inc, the Canada based provider of label and packaging solutions. has acquired Creaprint SL, the Spain based Mould label (“IML”) producer. The consideration was CAD 38.1m."
